,pKi
1474,7.5
1475,7.64
1476,8.41
1477,7.46
1478,7.14
1479,7.54
1480,6.93
1481,7.17
1482,7.05
1483,6.81
1484,5.17
1485,8.82
1486,9.0
1487,9.05
1488,9.3
1489,5.06
1490,4.93
1491,5.9
1492,6.1
1493,7.64
1494,7.51
1495,7.22
1496,6.58
1497,5.5
1498,4.52
1499,4.75
1500,4.92
1501,7.72
1502,7.58
1503,7.92
1504,7.89
1505,7.21
1506,5.6
1507,6.91
1508,5.18
1509,5.27
1510,5.65
1511,6.17
1512,6.51
1513,6.24
1514,6.65
1515,6.25
1516,7.35
1517,7.82
1518,8.54
1519,8.82
1520,8.0
1521,8.54
1522,8.28
1523,9.22
1524,8.68
1525,6.25
1526,6.08
1527,5.52
1528,5.46
1529,5.19
1530,5.49
1531,5.79
1532,5.49
1533,5.24
1534,4.94
1535,5.38
1536,5.42
1537,6.48
1538,5.92
1539,5.66
1540,6.07
1541,6.24
1542,6.18
1543,6.17
1544,6.42
1545,6.8
1546,7.7
1547,7.35
1548,8.43
1549,5.75
1550,6.05
1551,5.12
1552,5.84
1553,7.42
1554,7.41
1555,7.79
1556,7.82
1557,7.4
1558,7.57
1559,7.78
1560,7.05
1561,7.7
1562,7.66
1563,7.07
1564,7.36
1565,5.99
1566,8.24
1567,8.0
1568,6.4
1569,8.48
1570,9.96
1571,8.89
1572,8.24
1573,6.55
1574,8.0
1575,6.43
1576,6.05
1577,6.11
1578,6.46
1579,6.44
1580,6.66
1581,5.74
1582,5.99
1583,5.77
1584,6.52
1585,6.42
1586,6.44
1587,6.42
1588,6.67
1589,6.31
1590,5.97
1591,6.28
1592,6.51
1593,6.27
1594,6.87
1595,6.67
1596,6.39
1597,6.39
1598,7.02
1599,6.94
1600,8.33
1601,7.38
1602,6.28
1603,7.0
1604,5.57
1605,6.2
1606,6.6
1607,5.7
1608,6.38
1609,6.62
1610,6.93
1611,5.88
1612,5.98
1613,6.31
1614,5.55
1615,5.04
1616,5.08
1617,8.27
1618,8.08
1619,7.87
1620,7.69
1621,7.66
1622,7.36
1623,6.76
1624,6.41
1625,6.63
1626,6.82
1627,6.13
1628,7.57
1629,5.87
1630,4.92
1631,6.3
1632,7.61
1633,7.7
1634,8.03
1635,5.43
1636,5.32
1637,4.8
1638,6.09
1639,5.66
1640,6.17
1641,5.11
1642,4.67
1643,4.89
1644,7.06
1645,7.02
1646,7.41
1647,6.14
1648,7.26
1649,6.71
1650,7.13
1651,7.08
1652,6.26
1653,7.61
1654,6.94
1655,6.82
1656,8.09
1657,8.19
1658,8.24
1659,6.83
1660,7.29
1661,7.43
1662,6.72
1663,7.48
1664,6.47
1665,6.05
1666,6.14
1667,5.5
1668,6.64
1669,6.5
1670,5.95
1671,6.11
1672,5.59
1673,5.08
1674,7.21
1675,7.24
1676,7.41
1677,6.46
1678,6.88
1679,5.92
1680,5.2
1681,7.41
1682,7.11
1683,8.06
1684,7.73
1685,7.6
1686,8.7
1687,8.6
1688,8.3
1689,6.79
1690,5.44
1691,5.0
1692,5.83
1693,6.24
1694,6.05
1695,6.88
1696,6.35
1697,7.3
1698,7.11
1699,6.56
1700,7.85
1701,9.21
1702,9.14
1703,8.1
1704,9.36
1705,9.25
1706,8.72
1707,8.07
1708,8.66
1709,8.07
1710,5.72
1711,6.87
1712,6.96
1713,7.85
1714,6.52
1715,6.85
1716,5.91
1717,6.3
1718,5.86
1719,6.8
1720,6.52
1721,7.48
1722,5.95
1723,7.15
1724,6.4
1725,6.2
1726,6.58
1727,6.34
1728,5.62
1729,5.85
1730,6.14
1731,6.34
1732,6.54
1733,6.54
1734,4.75
1735,5.8
1736,5.36
1737,7.28
1738,6.54
1739,6.5
1740,6.38
1741,6.11
1742,5.62
1743,5.77
1744,5.92
1745,5.57
1746,6.23
1747,6.92
1748,6.42
1749,6.12
1750,5.75
1751,5.13
1752,4.0
1753,5.5
1754,5.43
1755,5.08
1756,4.64
1757,4.87
1758,7.22
1759,6.68
1760,8.05
1761,4.99
1762,5.3
1763,9.52
1764,10.09
1765,8.36
1766,7.55
1767,7.21
1768,5.42
1769,8.25
1770,6.35
1771,7.44
1772,6.47
1773,6.92
1774,5.45
1775,8.29
1776,6.91
1777,8.7
1778,9.0
1779,6.29
1780,6.64
1781,5.97
1782,5.82
1783,5.45
1784,5.59
1785,7.65
1786,8.77
1787,8.63
1788,8.47
1789,6.97
1790,6.01
1791,4.93
1792,4.78
1793,5.13
1794,5.05
1795,6.51
1796,6.24
1797,9.22
1798,9.0
1799,8.65
1800,7.66
1801,7.1
1802,6.01
1803,5.6
1804,5.47
1805,7.01
1806,6.54
1807,6.47
1808,6.18
1809,6.95
1810,6.48
1811,4.99
1812,4.84
1813,5.03
1814,4.71
1815,4.92
1816,4.54
1817,5.39
1818,6.41
1819,5.5
1820,5.28
1821,8.4
1822,6.75
1823,6.97
1824,7.47
1825,5.62
1826,6.18
1827,6.01
1828,4.88
1829,6.48
1830,5.85
1831,7.6
1832,8.51
1833,6.94
1834,6.38
1835,6.84
1836,6.4
1837,6.25
1838,6.04
1839,7.06
1840,7.0
1841,6.41
1842,6.52
1843,4.65
1844,5.93
1845,5.85
1846,7.44
1847,8.17
1848,8.85
1849,7.43
1850,7.88
1851,7.11
1852,6.65
1853,6.26
1854,6.06
1855,7.19
1856,6.79
1857,7.03
1858,7.21
1859,5.01
1860,4.58
1861,6.92
1862,4.47
1863,7.36
1864,4.43
1865,7.43
1866,6.22
1867,7.91
1868,4.37
1869,5.82
1870,4.61
1871,8.24
1872,8.32
1873,5.59
1874,7.29
1875,6.18
1876,7.12
1877,5.07
1878,5.62
1879,6.01
1880,6.01
1881,7.05
1882,7.3
1883,6.97
1884,7.24
1885,6.17
1886,6.17
1887,6.25
1888,6.49
1889,7.19
1890,7.09
1891,6.94
1892,7.4
1893,7.04
1894,6.93
1895,7.35
1896,7.23
1897,6.61
1898,6.39
1899,5.56
1900,6.63
1901,6.88
1902,6.37
1903,6.33
1904,6.97
1905,5.59
1906,5.32
1907,6.8
1908,5.66
1909,5.6
1910,5.96
1911,5.79
1912,5.49
1913,6.28
1914,5.65
1915,5.92
1916,5.96
1917,7.3
1918,5.49
1919,6.65
1920,6.68
1921,8.09
1922,7.77
1923,7.17
1924,7.7
1925,8.44
1926,7.92
1927,6.3
1928,6.7
1929,7.7
1930,7.52
1931,5.09
1932,5.1
1933,6.21
1934,6.24
1935,5.7
1936,5.67
1937,6.15
1938,5.69
1939,6.06
1940,6.39
1941,7.29
1942,7.0
1943,6.51
1944,5.88
1945,7.36
1946,8.92
1947,7.4
1948,7.2
1949,5.48
1950,5.59
1951,5.72
1952,5.34
1953,5.46
1954,5.72
1955,5.67
1956,6.09
1957,5.91
1958,5.59
1959,6.34
1960,7.35
1961,6.96
1962,7.32
1963,7.6
1964,6.15
1965,7.08
1966,6.48
1967,7.55
1968,6.92
1969,6.16
1970,6.39
1971,5.67
1972,6.11
1973,5.78
1974,6.07
1975,7.46
1976,7.92
1977,4.85
1978,4.89
1979,5.89
1980,5.04
1981,5.61
1982,5.48
1983,7.33
1984,6.23
1985,7.82
1986,5.65
1987,7.98
1988,5.48
1989,7.19
1990,5.55
1991,7.37
1992,6.8
1993,7.92
1994,5.09
1995,7.82
1996,9.0
1997,7.34
1998,7.3
1999,7.4
2000,6.36
2001,7.57
2002,7.33
2003,7.82
2004,7.7
2005,8.57
2006,6.92
2007,7.04
2008,6.59
2009,7.0
2010,7.51
2011,5.29
2012,5.66
2013,7.17
2014,7.14
2015,6.4
2016,6.73
2017,7.0
2018,5.85
2019,5.57
2020,6.1
2021,6.0
2022,9.7
2023,4.0
2024,9.51
2025,5.02
2026,5.31
2027,5.07
2028,5.21
2029,5.75
2030,5.72
2031,5.32
2032,6.18
2033,4.36
2034,4.6
2035,5.68
2036,5.79
2037,6.13
2038,6.17
2039,8.44
2040,8.55
2041,7.66
2042,7.48
2043,6.8
2044,6.71
2045,6.72
2046,6.0
2047,7.59
2048,7.27
2049,8.05
2050,7.77
2051,5.31
2052,4.09
2053,5.38
2054,5.0
2055,6.05
2056,5.16
2057,8.74
2058,8.44
2059,8.85
2060,8.92
2061,5.34
2062,5.19
2063,9.05
2064,7.29
2065,8.8
2066,8.24
2067,4.46
2068,5.11
2069,6.72
2070,7.3
2071,6.71
2072,6.55
2073,6.64
2074,7.34
2075,6.5
2076,6.78
2077,5.45
2078,7.05
2079,7.49
2080,6.11
2081,5.5
2082,5.28
2083,6.83
2084,6.78
2085,6.81
2086,6.9
2087,6.75
2088,6.85
2089,6.04
2090,6.83
2091,5.31
2092,6.22
2093,5.56
2094,6.79
2095,5.47
2096,5.6
2097,6.48
2098,6.14
2099,6.79
2100,5.62
2101,5.29
2102,5.32
2103,7.29
2104,6.92
2105,6.03
2106,6.41
2107,5.48
2108,6.01
2109,6.46
2110,5.78
2111,5.57
2112,6.76
2113,5.6
2114,5.62
2115,5.32
2116,5.7
2117,5.89
2118,6.36
2119,5.8
2120,5.62
2121,7.0
2122,7.22
2123,6.16
2124,6.16
2125,5.89
2126,5.54
2127,6.96
2128,6.91
2129,6.12
2130,6.4
2131,7.66
2132,9.74
2133,8.39
2134,7.21
2135,6.81
2136,6.87
2137,8.02
2138,8.03
