,molecule_chembl_id,Ki,units,pKi,smiles
2244,CHEMBL1688378,7.19,nM,8.14,CCCCC#Cc1nc(N)c2ncn([C@@H]3SC[C@@H](O)[C@H]3O)c2n1
2245,CHEMBL1688379,72.0,nM,7.14,CCCC/C=C/c1nc(N)c2ncn([C@@H]3SC[C@@H](O)[C@H]3O)c2n1
2246,CHEMBL1760889,31.0,nM,7.51,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@@H]3CC[C@@H](NC(=O)c4cccc(C(F)(F)F)c4)C3)sc12
2247,CHEMBL1760898,52.0,nM,7.28,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@@H](NC(=O)c4cccc(C(F)(F)F)c4)CC3)sc12
2248,CHEMBL1760888,81.0,nM,7.09,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@@H]3CC[C@H](NC(=O)c4cccc(C(F)(F)F)c4)C3)sc12
2249,CHEMBL1760884,110.0,nM,6.96,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@@H](NS(=O)(=O)c4cccc(C(F)(F)F)c4)CC3)sc12
2250,CHEMBL1760891,180.0,nM,6.75,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@@H]3CC[C@H](NCc4cccc(C(F)(F)F)c4)C3)sc12.O=C(O)C(F)(F)F
2251,CHEMBL1760896,200.0,nM,6.7,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NS(=O)(=O)c4cccc(C(F)(F)F)c4)CC3)sc12
2252,CHEMBL1760899,210.0,nM,6.68,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)N3CCC(O)(c4cccc(C(F)(F)F)c4)CC3)sc12
2253,CHEMBL1760892,230.0,nM,6.64,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)sc12
2254,CHEMBL1760900,240.0,nM,6.62,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)N3CCC(c4cccc(C(F)(F)F)c4)CC3)sc12
2255,CHEMBL1760897,280.0,nM,6.55,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NCc4cccc(C(F)(F)F)c4)CC3)sc12.O=C(O)C(F)(F)F
2256,CHEMBL1760895,470.0,nM,6.33,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NC(=O)c4cccc(C(F)(F)F)c4)CC3)sc12
2257,CHEMBL1760901,530.0,nM,6.28,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)N3CCC(S(=O)(=O)c4cccc(C(F)(F)F)c4)CC3)sc12
2258,CHEMBL1760885,600.0,nM,6.22,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@@H]3CCN(S(=O)(=O)c4cccc(C(F)(F)F)c4)C3)sc12
