,pKi,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
738,6.52,0.04,6,1,4,6,31,5,87.89999999999999,0.5069557441908676,4.943180000000004,2.086319088217783,0,0,0,3,1,4,0,0,0
739,7.48,0.0,5,1,4,6,30,4,78.67,0.4753934152976978,5.587980000000004,2.0832183298204185,0,0,0,3,1,4,0,0,0
740,7.34,0.1428571428571428,5,1,4,5,26,4,78.67,0.7774990487204686,4.030780000000002,2.1226879510021224,1,0,1,2,1,3,1,0,1
741,7.45,0.1428571428571428,5,1,3,5,26,4,78.67,0.7674648022125632,4.276780000000003,2.156455476989647,0,0,0,2,1,3,0,0,0
742,7.26,0.217391304347826,5,1,3,5,28,6,78.67,0.6578508666664376,5.056980000000005,2.299366390816509,0,0,0,2,1,3,0,0,0
743,7.32,0.1428571428571428,5,1,3,5,26,5,78.67,0.7441658498305214,4.420880000000004,2.1316307202328897,0,0,0,2,1,3,0,0,0
744,6.8,0.217391304347826,5,1,4,5,28,4,78.67,0.7165431875825956,4.810980000000003,2.169292160047279,1,0,1,2,1,3,1,0,1
745,7.67,0.1818181818181818,7,1,4,7,29,5,97.13,0.7074255612845739,4.149580000000002,2.4031500863563906,0,1,1,2,1,3,0,0,0
746,7.57,0.25,7,1,5,7,31,4,97.13,0.6756802451102851,4.539680000000003,2.4305971947266585,1,1,2,2,1,3,1,0,1
747,8.28,0.0555555555555555,6,2,4,6,24,2,94.05,0.7807631001537615,2.9931800000000006,2.2909528039900184,0,1,1,2,1,3,0,0,0
748,7.64,0.0,4,2,3,4,21,2,75.59,0.7764474090574844,3.2644800000000007,1.9876574918066967,0,0,0,2,1,3,0,0,0
749,6.42,0.0588235294117647,5,2,4,5,22,2,70.26,0.7851788578693563,3.121500000000002,1.9965879725713729,0,1,1,2,1,3,0,0,0
750,7.3,0.1428571428571428,5,1,4,5,26,4,78.67,0.7774990487204685,4.030780000000003,2.0851150279252,1,0,1,2,1,3,1,0,1
751,7.16,0.1428571428571428,5,1,3,5,26,5,78.67,0.7441658498305213,4.420880000000003,2.08790825869443,0,0,0,2,1,3,0,0,0
752,6.55,0.217391304347826,5,1,4,5,28,4,78.67,0.7165431875825955,4.810980000000003,2.1349266816232646,1,0,1,2,1,3,1,0,1
753,7.72,0.0,4,2,3,4,21,2,75.59,0.7764474090574844,3.2644800000000016,1.9260012496881596,0,0,0,2,1,3,0,0,0
754,7.16,0.1904761904761904,6,1,5,6,27,4,73.34,0.7650153071980779,3.887800000000002,2.1367074613511665,1,1,2,2,1,3,1,0,1
755,6.24,0.2608695652173913,6,1,4,6,29,6,73.34,0.6481072937049419,4.914000000000005,2.3057753610816647,0,1,1,2,1,3,0,0,0
756,6.65,0.1904761904761904,6,1,4,6,27,5,73.34,0.7342461533061743,4.277900000000003,2.1426560494719062,0,1,1,2,1,3,0,0,0
