,molecule_chembl_id,Ki,units,pKi,smiles,molecular_weight,n_hba,n_hbd,logp,passed
220,CHEMBL349464,306.0,nM,6.51,CCCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,401.16002284800004,9,1,3.3252000000000015,True
221,CHEMBL141154,180.0,nM,6.75,CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,422.10064940000007,10,2,4.051300000000002,True
222,CHEMBL167753,180.0,nM,6.75,Cn1cc2c(nc(NC(=O)Nc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,408.08499933600007,10,2,3.5684000000000005,True
223,CHEMBL164867,249.0,nM,6.6,CCn1cc2c(nc(NC(=O)Nc3ccc(S(=O)(=O)O)cc3)n3nc(-c4ccco4)nc23)n1,468.09643661200005,13,3,2.6446000000000005,True
224,CHEMBL164904,352.0,nM,6.45,CCCCn1cc2c(nc(NC(=O)Nc3ccc(S(=O)(=O)O)cc3)n3nc(-c4ccco4)nc23)n1,496.12773674,13,3,3.424800000000001,True
225,CHEMBL165600,40.0,nM,7.4,CCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,466.0501338200001,10,2,4.160400000000003,True
226,CHEMBL344501,1195.0,nM,5.92,Cn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,408.08499933600007,10,2,3.5684000000000005,True
227,CHEMBL352192,376.0,nM,6.42,CCCCn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,460.16075112000004,12,2,3.9068000000000023,True
228,CHEMBL163968,400.0,nM,6.4,CCCCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,415.1756729120001,9,1,3.715300000000002,True
229,CHEMBL348975,30.0,nM,7.52,CCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,402.15527181600004,10,2,3.7063200000000016,True
230,CHEMBL352345,150.0,nM,6.82,CCn1cc2c(nc(NC(=O)Nc3ccccc3Cl)n3nc(-c4ccco4)nc23)n1,422.10064940000007,10,2,4.051300000000002,True
231,CHEMBL400189,7220.0,nM,5.14,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)ncnc21,349.1750042160001,9,4,0.18239999999999834,True
232,CHEMBL139000,750.0,nM,6.12,C[C@H](Cc1ccccc1)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,385.17500421599993,9,4,0.48089999999999994,True
